都道府県,年度,排出量合計,CO2排出原単位要因,エネルギー消費効率要因,一人当たり総生産要因,人口要因,CO2排出原単位要因_変化率,エネルギー消費効率要因_変化率,一人当たり総生産要因_変化率,人口要因_変化率,排出量増減,CO2排出原単位要因_増減,エネルギー消費効率要因_増減,一人当たり総生産要因_増減,人口要因_増減,排出量増減率
石川県,2012,10422.9,3.1153071910672853e-07,7481.825168224043,3.8433309039153736,1163516,0.024870560535283495,-0.022186501364159013,0.01568598163993386,-0.0026786303584393142,155.29999999999927,246.14728311340818,-219.5827884470886,155.24627031059038,-26.510764976910735,0.015125248354045665
石川県,2013,9993.0,2.987106857049736e-07,7203.348084376379,4.002376848564238,1160360,-0.017304653697879566,-0.058581183881396506,0.057717422714123966,-0.005383832730034346,-274.60000000000036,-201.7581500972717,-683.0088308480249,672.9380800385982,-62.77109909330204,-0.026744321944758304
石川県,2014,9589.5,3.154396127634806e-07,6555.514267744658,4.008445824757996,1156903,0.03772999874592057,-0.1432477774641542,0.05932128514413918,-0.008347040777754253,-678.1000000000004,469.06956898992325,-1780.8951886366096,737.4982925886865,-103.77267294200041,-0.06604269741711796
石川県,2015,9801.9,3.030962540448364e-07,6756.55107334963,4.147589964714283,1154008,-0.002877056009829034,-0.11697390740928464,0.09609323008309026,-0.010828523941812435,-465.7000000000007,-38.739230238595546,-1575.040289641672,1293.884356731859,-145.8048368515925,-0.04535626631345209
石川県,2016,9476.0,3.092535977085896e-07,6429.787542634824,4.138909540005072,1151404,0.017379309943979872,-0.15967923452008748,0.09379923409048796,-0.013060573046892746,-791.6000000000004,223.4759483841448,-2053.273029059004,1206.1395339427336,-167.94245326787504,-0.07709688729596013
石川県,2017,9155.4,2.9402796441439077e-07,6473.792553561131,4.188001696156395,1148479,-0.03270982211167561,-0.153928138667954,0.10677293218153196,-0.015567771062391943,-1112.2000000000007,-381.20923080984886,-1793.920711071595,1244.3610120920002,-181.43107021055724,-0.10832132143831087
石川県,2018,8604.1,2.7942167283343847e-07,6278.819305571241,4.28382464955067,1144816,-0.08076145015925798,-0.17940955122047986,0.13209628656216885,-0.01870755442334017,-1663.5,-915.2786166524422,-2033.2686638427374,1497.0621031584674,-212.0148226632882,-0.16201449218902178
石川県,2019,7908.7,2.7381370640268993e-07,6099.648428880046,4.15615167013212,1139341,-0.09921048053361174,-0.202825722789837,0.09835585185291211,-0.023400514811325848,-2358.9000000000005,-1030.591464453248,-2106.939282568526,1021.7136420813708,-243.08289505959792,-0.2297421013674082
石川県,2020,7522.6,2.6411150498862324e-07,6346.026311330774,3.9630595677273632,1132526,-0.13112868311142611,-0.1706261439693095,0.047326953618285275,-0.029242071897010304,-2745.0,-1268.8980310718,-1651.1046476998026,457.97057392728254,-282.9678951556798,-0.26734582570415677
福井県,2011,9247.8,3.009408833700576e-07,9074.733058825104,4.215980537897067,803202,0.0,0.0,0.0,0.0,0.0,,,,,0.0
